,importance
BMI,10553
Age,9731
Weight_kg,8492
Height_cm,6784
AlcoholConsumption_X,4069
NumberOfDiagnoses,2859
NumberOfAllergies,1445
NeuroPsyk_flag,1214
Respiratorisk_flag,1086
Bevægeapparat_flag,1055
Endo/Andet_flag,1018
Kardiovaskulært_flag,966
GI/Lever/Nyre_flag,953
Sex_Kvinde,808
SmokingStatus_Simplified_Current smoker,805
SmokingStatus_Simplified_Never smoker,624
SmokingStatus_Simplified_Unknown,603
SmokingStatus_Simplified_Former smoker,483
Sex_Mand,193
